"years","school","position","career","name","year"
"2000–2004","Texas Tech","WR","Coaching","Dana Holgorsen",2003
"2000–2004","Texas Tech","WR","Coaching","Dana Holgorsen",2004
"2005–2006","Texas Tech","co-OC/WR","Coaching","Dana Holgorsen",2005
"2005–2006","Texas Tech","co-OC/WR","Coaching","Dana Holgorsen",2006
"2007","Texas Tech","OC/WR","Coaching","Dana Holgorsen",2007
"2008–2009","Houston","OC/QB","Coaching","Dana Holgorsen",2008
"2008–2009","Houston","OC/QB","Coaching","Dana Holgorsen",2009
"2010","Oklahoma State","OC/QB","Coaching","Dana Holgorsen",2010
"2011–2013","West Virginia","HC","Coaching","Dana Holgorsen",2011
"2011–2013","West Virginia","HC","Coaching","Dana Holgorsen",2012
"2011–2013","West Virginia","HC","Coaching","Dana Holgorsen",2013
"1988–1989","Auburn","AL","Coaching","Tim Beckman",1988
"1988–1989","Auburn","AL","Coaching","Tim Beckman",1989
"1990–1995","Western Carolina","SC/RC","Coaching","Tim Beckman",1990
"1990–1995","Western Carolina","SC/RC","Coaching","Tim Beckman",1991
"1990–1995","Western Carolina","SC/RC","Coaching","Tim Beckman",1992
"1990–1995","Western Carolina","SC/RC","Coaching","Tim Beckman",1993
"1990–1995","Western Carolina","SC/RC","Coaching","Tim Beckman",1994
"1990–1995","Western Carolina","SC/RC","Coaching","Tim Beckman",1995
"1996–1997","Elon","DC/RC","Coaching","Tim Beckman",1996
"1996–1997","Elon","DC/RC","Coaching","Tim Beckman",1997
"1998–2004","Bowling Green","DC","Coaching","Tim Beckman",1998
"1998–2004","Bowling Green","DC","Coaching","Tim Beckman",1999
"1998–2004","Bowling Green","DC","Coaching","Tim Beckman",2000
"1998–2004","Bowling Green","DC","Coaching","Tim Beckman",2001
"1998–2004","Bowling Green","DC","Coaching","Tim Beckman",2002
"1998–2004","Bowling Green","DC","Coaching","Tim Beckman",2003
"1998–2004","Bowling Green","DC","Coaching","Tim Beckman",2004
"2005–2006","Ohio State","CB","Coaching","Tim Beckman",2005
"2005–2006","Ohio State","CB","Coaching","Tim Beckman",2006
"2007–2008","Oklahoma State","DC","Coaching","Tim Beckman",2007
"2007–2008","Oklahoma State","DC","Coaching","Tim Beckman",2008
"2009–2011","Toledo","HC","Coaching","Tim Beckman",2009
"2009–2011","Toledo","HC","Coaching","Tim Beckman",2010
"2009–2011","Toledo","HC","Coaching","Tim Beckman",2011
"2012–2013","Illinois","HC","Coaching","Tim Beckman",2012
"2012–2013","Illinois","HC","Coaching","Tim Beckman",2013
"1984–1986","North Carolina","GA","Coaching","Kevin Wilson",1984
"1984–1986","North Carolina","GA","Coaching","Kevin Wilson",1985
"1984–1986","North Carolina","GA","Coaching","Kevin Wilson",1986
"1987","Winston-Salem State","OL","Coaching","Kevin Wilson",1987
"1988","North Carolina A&T","OC/OL","Coaching","Kevin Wilson",1988
"1989","Fred T. Foard HS","NC","Coaching","Kevin Wilson",1989
"1990–1991","Miami","OL","Coaching","Kevin Wilson",1990
"1990–1991","Miami","OL","Coaching","Kevin Wilson",1991
"1992–1997","Miami","OC/OL","Coaching","Kevin Wilson",1992
"1992–1997","Miami","OC/OL","Coaching","Kevin Wilson",1993
"1992–1997","Miami","OC/OL","Coaching","Kevin Wilson",1994
"1992–1997","Miami","OC/OL","Coaching","Kevin Wilson",1995
"1992–1997","Miami","OC/OL","Coaching","Kevin Wilson",1996
"1992–1997","Miami","OC/OL","Coaching","Kevin Wilson",1997
"1998","Miami","OC/QB","Coaching","Kevin Wilson",1998
"1999–2000","Northwestern","OC/QB","Coaching","Kevin Wilson",1999
"1999–2000","Northwestern","OC/QB","Coaching","Kevin Wilson",2000
"2001","Northwestern","AHC/OC/QB","Coaching","Kevin Wilson",2001
"2002–2005","Oklahoma","co-OC/OL","Coaching","Kevin Wilson",2002
"2002–2005","Oklahoma","co-OC/OL","Coaching","Kevin Wilson",2003
"2002–2005","Oklahoma","co-OC/OL","Coaching","Kevin Wilson",2004
"2002–2005","Oklahoma","co-OC/OL","Coaching","Kevin Wilson",2005
"2006–2010","Oklahoma","OC/TE/FB","Coaching","Kevin Wilson",2006
"2006–2010","Oklahoma","OC/TE/FB","Coaching","Kevin Wilson",2007
"2006–2010","Oklahoma","OC/TE/FB","Coaching","Kevin Wilson",2008
"2006–2010","Oklahoma","OC/TE/FB","Coaching","Kevin Wilson",2009
"2006–2010","Oklahoma","OC/TE/FB","Coaching","Kevin Wilson",2010
"2011–2013","Indiana","HC","Coaching","Kevin Wilson",2011
"2011–2013","Indiana","HC","Coaching","Kevin Wilson",2012
"2011–2013","Indiana","HC","Coaching","Kevin Wilson",2013
"1977","Connecticut","GA","Coaching","Kirk Ferentz",1977
"1978–1979","Worcester Academy","OL/DC","Coaching","Kirk Ferentz",1978
"1978–1979","Worcester Academy","OL/DC","Coaching","Kirk Ferentz",1979
"1980","Pittsburgh","GA","Coaching","Kirk Ferentz",1980
"1981–1989","Iowa","OL","Coaching","Kirk Ferentz",1981
"1981–1989","Iowa","OL","Coaching","Kirk Ferentz",1982
"1981–1989","Iowa","OL","Coaching","Kirk Ferentz",1983
"1981–1989","Iowa","OL","Coaching","Kirk Ferentz",1984
"1981–1989","Iowa","OL","Coaching","Kirk Ferentz",1985
"1981–1989","Iowa","OL","Coaching","Kirk Ferentz",1986
"1981–1989","Iowa","OL","Coaching","Kirk Ferentz",1987
"1981–1989","Iowa","OL","Coaching","Kirk Ferentz",1988
"1981–1989","Iowa","OL","Coaching","Kirk Ferentz",1989
"1990–1992","Maine","HC","Coaching","Kirk Ferentz",1990
"1990–1992","Maine","HC","Coaching","Kirk Ferentz",1991
"1990–1992","Maine","HC","Coaching","Kirk Ferentz",1992
"1993–1995","Cleveland Browns","OL","Coaching","Kirk Ferentz",1993
"1993–1995","Cleveland Browns","OL","Coaching","Kirk Ferentz",1994
"1993–1995","Cleveland Browns","OL","Coaching","Kirk Ferentz",1995
"1996–1998","Baltimore Ravens","OL","Coaching","Kirk Ferentz",1996
"1996–1998","Baltimore Ravens","OL","Coaching","Kirk Ferentz",1997
"1996–1998","Baltimore Ravens","OL","Coaching","Kirk Ferentz",1998
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",1999
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2000
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2001
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2002
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2003
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2004
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2005
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2006
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2007
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2008
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2009
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2010
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2011
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2012
"1999–2013","Iowa","HC","Coaching","Kirk Ferentz",2013
"1981–1982","Yorktown HS","DC","Coaching","Brady Hoke",1981
"1981–1982","Yorktown HS","DC","Coaching","Brady Hoke",1982
"1983","Grand Valley State","DL","Coaching","Brady Hoke",1983
"1984–1986","Western Michigan","DL","Coaching","Brady Hoke",1984
"1984–1986","Western Michigan","DL","Coaching","Brady Hoke",1985
"1984–1986","Western Michigan","DL","Coaching","Brady Hoke",1986
"1987–1989","Toledo","LB","Coaching","Brady Hoke",1987
"1987–1989","Toledo","LB","Coaching","Brady Hoke",1988
"1987–1989","Toledo","LB","Coaching","Brady Hoke",1989
"1989–1994","Oregon State","DL","Coaching","Brady Hoke",1989
"1989–1994","Oregon State","DL","Coaching","Brady Hoke",1990
"1989–1994","Oregon State","DL","Coaching","Brady Hoke",1991
"1989–1994","Oregon State","DL","Coaching","Brady Hoke",1992
"1989–1994","Oregon State","DL","Coaching","Brady Hoke",1993
"1989–1994","Oregon State","DL","Coaching","Brady Hoke",1994
"1995–1996","Michigan","DE","Coaching","Brady Hoke",1995
"1995–1996","Michigan","DE","Coaching","Brady Hoke",1996
"1997–2001","Michigan","DL","Coaching","Brady Hoke",1997
"1997–2001","Michigan","DL","Coaching","Brady Hoke",1998
"1997–2001","Michigan","DL","Coaching","Brady Hoke",1999
"1997–2001","Michigan","DL","Coaching","Brady Hoke",2000
"1997–2001","Michigan","DL","Coaching","Brady Hoke",2001
"2002","Michigan","Assoc. HC/DL","Coaching","Brady Hoke",2002
"2003–2008","Ball State","HC","Coaching","Brady Hoke",2003
"2003–2008","Ball State","HC","Coaching","Brady Hoke",2004
"2003–2008","Ball State","HC","Coaching","Brady Hoke",2005
"2003–2008","Ball State","HC","Coaching","Brady Hoke",2006
"2003–2008","Ball State","HC","Coaching","Brady Hoke",2007
"2003–2008","Ball State","HC","Coaching","Brady Hoke",2008
"2009–2010","San Diego State","HC","Coaching","Brady Hoke",2009
"2009–2010","San Diego State","HC","Coaching","Brady Hoke",2010
"2011–2013","Michigan","HC","Coaching","Brady Hoke",2011
"2011–2013","Michigan","HC","Coaching","Brady Hoke",2012
"2011–2013","Michigan","HC","Coaching","Brady Hoke",2013
"1980","Ohio","GA","Coaching","Mark Dantonio",1980
"1981","Purdue","GA","Coaching","Mark Dantonio",1981
"1982","Butler CC","DC","Coaching","Mark Dantonio",1982
"1983–1984","Ohio State","GA","Coaching","Mark Dantonio",1983
"1983–1984","Ohio State","GA","Coaching","Mark Dantonio",1984
"1985","Akron","DB","Coaching","Mark Dantonio",1985
"1986–1990","Youngstown State","DC","Coaching","Mark Dantonio",1986
"1986–1990","Youngstown State","DC","Coaching","Mark Dantonio",1987
"1986–1990","Youngstown State","DC","Coaching","Mark Dantonio",1988
"1986–1990","Youngstown State","DC","Coaching","Mark Dantonio",1989
"1986–1990","Youngstown State","DC","Coaching","Mark Dantonio",1990
"1991–1994","Kansas","DB","Coaching","Mark Dantonio",1991
"1991–1994","Kansas","DB","Coaching","Mark Dantonio",1992
"1991–1994","Kansas","DB","Coaching","Mark Dantonio",1993
"1991–1994","Kansas","DB","Coaching","Mark Dantonio",1994
"1995–2000","Michigan State","DB","Coaching","Mark Dantonio",1995
"1995–2000","Michigan State","DB","Coaching","Mark Dantonio",1996
"1995–2000","Michigan State","DB","Coaching","Mark Dantonio",1997
"1995–2000","Michigan State","DB","Coaching","Mark Dantonio",1998
"1995–2000","Michigan State","DB","Coaching","Mark Dantonio",1999
"1995–2000","Michigan State","DB","Coaching","Mark Dantonio",2000
"2001–2003","Ohio State","DC","Coaching","Mark Dantonio",2001
"2001–2003","Ohio State","DC","Coaching","Mark Dantonio",2002
"2001–2003","Ohio State","DC","Coaching","Mark Dantonio",2003
"2004–2006","Cincinnati","HC","Coaching","Mark Dantonio",2004
"2004–2006","Cincinnati","HC","Coaching","Mark Dantonio",2005
"2004–2006","Cincinnati","HC","Coaching","Mark Dantonio",2006
"2007–2013","Michigan State","HC","Coaching","Mark Dantonio",2007
"2007–2013","Michigan State","HC","Coaching","Mark Dantonio",2008
"2007–2013","Michigan State","HC","Coaching","Mark Dantonio",2009
"2007–2013","Michigan State","HC","Coaching","Mark Dantonio",2010
"2007–2013","Michigan State","HC","Coaching","Mark Dantonio",2011
"2007–2013","Michigan State","HC","Coaching","Mark Dantonio",2012
"2007–2013","Michigan State","HC","Coaching","Mark Dantonio",2013
"1985–1987","Pittsburg State","DC","Coaching","Jerry Kill",1985
"1985–1987","Pittsburg State","DC","Coaching","Jerry Kill",1986
"1985–1987","Pittsburg State","DC","Coaching","Jerry Kill",1987
"1988–1990","Webb City HS","MO","Coaching","Jerry Kill",1988
"1988–1990","Webb City HS","MO","Coaching","Jerry Kill",1989
"1988–1990","Webb City HS","MO","Coaching","Jerry Kill",1990
"1991–1993","Pittsburg State","OC","Coaching","Jerry Kill",1991
"1991–1993","Pittsburg State","OC","Coaching","Jerry Kill",1992
"1991–1993","Pittsburg State","OC","Coaching","Jerry Kill",1993
"1994–1998","Saginaw Valley State","HC","Coaching","Jerry Kill",1994
"1994–1998","Saginaw Valley State","HC","Coaching","Jerry Kill",1995
"1994–1998","Saginaw Valley State","HC","Coaching","Jerry Kill",1996
"1994–1998","Saginaw Valley State","HC","Coaching","Jerry Kill",1997
"1994–1998","Saginaw Valley State","HC","Coaching","Jerry Kill",1998
"1999–2000","Emporia State","HC","Coaching","Jerry Kill",1999
"1999–2000","Emporia State","HC","Coaching","Jerry Kill",2000
"2001–2007","Southern Illinois","HC","Coaching","Jerry Kill",2001
"2001–2007","Southern Illinois","HC","Coaching","Jerry Kill",2002
"2001–2007","Southern Illinois","HC","Coaching","Jerry Kill",2003
"2001–2007","Southern Illinois","HC","Coaching","Jerry Kill",2004
"2001–2007","Southern Illinois","HC","Coaching","Jerry Kill",2005
"2001–2007","Southern Illinois","HC","Coaching","Jerry Kill",2006
"2001–2007","Southern Illinois","HC","Coaching","Jerry Kill",2007
"2008–2010","Northern Illinois","HC","Coaching","Jerry Kill",2008
"2008–2010","Northern Illinois","HC","Coaching","Jerry Kill",2009
"2008–2010","Northern Illinois","HC","Coaching","Jerry Kill",2010
"2011–2013","Minnesota","HC","Coaching","Jerry Kill",2011
"2011–2013","Minnesota","HC","Coaching","Jerry Kill",2012
"2011–2013","Minnesota","HC","Coaching","Jerry Kill",2013
"1991","Iowa","GA","Coaching","Bo Pelini",1991
"1993","Cardinal Mooney HS","QB","Coaching","Bo Pelini",1993
"1994–1996","San Francisco 49ers","DB","Coaching","Bo Pelini",1994
"1994–1996","San Francisco 49ers","DB","Coaching","Bo Pelini",1995
"1994–1996","San Francisco 49ers","DB","Coaching","Bo Pelini",1996
"1997–1999","New England Patriots","LB","Coaching","Bo Pelini",1997
"1997–1999","New England Patriots","LB","Coaching","Bo Pelini",1998
"1997–1999","New England Patriots","LB","Coaching","Bo Pelini",1999
"2000–2002","Green Bay Packers","LB","Coaching","Bo Pelini",2000
"2000–2002","Green Bay Packers","LB","Coaching","Bo Pelini",2001
"2000–2002","Green Bay Packers","LB","Coaching","Bo Pelini",2002
"2003","Nebraska","DC","Coaching","Bo Pelini",2003
"2003","Nebraska","Interim HC","Coaching","Bo Pelini",2003
"2004","Oklahoma","Co-DC","Coaching","Bo Pelini",2004
"2005–2007","LSU","DC","Coaching","Bo Pelini",2005
"2005–2007","LSU","DC","Coaching","Bo Pelini",2006
"2005–2007","LSU","DC","Coaching","Bo Pelini",2007
"2008–2013","Nebraska","HC","Coaching","Bo Pelini",2008
"2008–2013","Nebraska","HC","Coaching","Bo Pelini",2009
"2008–2013","Nebraska","HC","Coaching","Bo Pelini",2010
"2008–2013","Nebraska","HC","Coaching","Bo Pelini",2011
"2008–2013","Nebraska","HC","Coaching","Bo Pelini",2012
"2008–2013","Nebraska","HC","Coaching","Bo Pelini",2013
"1998","Maryland","LB","Coaching","Pat Fitzgerald",1998
"1999","Colorado","LB","Coaching","Pat Fitzgerald",1999
"2000","Idaho","LB","Coaching","Pat Fitzgerald",2000
"2001–2005","Northwestern","LB","Coaching","Pat Fitzgerald",2001
"2001–2005","Northwestern","LB","Coaching","Pat Fitzgerald",2002
"2001–2005","Northwestern","LB","Coaching","Pat Fitzgerald",2003
"2001–2005","Northwestern","LB","Coaching","Pat Fitzgerald",2004
"2001–2005","Northwestern","LB","Coaching","Pat Fitzgerald",2005
"2006–2013","Northwestern","HC","Coaching","Pat Fitzgerald",2006
"2006–2013","Northwestern","HC","Coaching","Pat Fitzgerald",2007
"2006–2013","Northwestern","HC","Coaching","Pat Fitzgerald",2008
"2006–2013","Northwestern","HC","Coaching","Pat Fitzgerald",2009
"2006–2013","Northwestern","HC","Coaching","Pat Fitzgerald",2010
"2006–2013","Northwestern","HC","Coaching","Pat Fitzgerald",2011
"2006–2013","Northwestern","HC","Coaching","Pat Fitzgerald",2012
"2006–2013","Northwestern","HC","Coaching","Pat Fitzgerald",2013
"1985","St. Xavier HS","DB","Coaching","Urban Meyer",1985
"1986","Ohio State","TE","Coaching","Urban Meyer",1986
"1987","Ohio State","WR","Coaching","Urban Meyer",1987
"1988","Illinois State","OLB","Coaching","Urban Meyer",1988
"1989","Illinois State","QB/WR","Coaching","Urban Meyer",1989
"1990–1995","Colorado State","WR","Coaching","Urban Meyer",1990
"1990–1995","Colorado State","WR","Coaching","Urban Meyer",1991
"1990–1995","Colorado State","WR","Coaching","Urban Meyer",1992
"1990–1995","Colorado State","WR","Coaching","Urban Meyer",1993
"1990–1995","Colorado State","WR","Coaching","Urban Meyer",1994
"1990–1995","Colorado State","WR","Coaching","Urban Meyer",1995
"1996–2000","Notre Dame","WR","Coaching","Urban Meyer",1996
"1996–2000","Notre Dame","WR","Coaching","Urban Meyer",1997
"1996–2000","Notre Dame","WR","Coaching","Urban Meyer",1998
"1996–2000","Notre Dame","WR","Coaching","Urban Meyer",1999
"1996–2000","Notre Dame","WR","Coaching","Urban Meyer",2000
"2001–2002","Bowling Green","HC","Coaching","Urban Meyer",2001
"2001–2002","Bowling Green","HC","Coaching","Urban Meyer",2002
"2003–2004","Utah","HC","Coaching","Urban Meyer",2003
"2003–2004","Utah","HC","Coaching","Urban Meyer",2004
"2005–2010","Florida","HC","Coaching","Urban Meyer",2005
"2005–2010","Florida","HC","Coaching","Urban Meyer",2006
"2005–2010","Florida","HC","Coaching","Urban Meyer",2007
"2005–2010","Florida","HC","Coaching","Urban Meyer",2008
"2005–2010","Florida","HC","Coaching","Urban Meyer",2009
"2005–2010","Florida","HC","Coaching","Urban Meyer",2010
"2012–2013","Ohio State","HC","Coaching","Urban Meyer",2012
"2012–2013","Ohio State","HC","Coaching","Urban Meyer",2013
"1993","Brown","TE","Coaching","Bill O'Brien",1993
"1994","Brown","ILB","Coaching","Bill O'Brien",1994
"1995–1997","Georgia Tech","GA","Coaching","Bill O'Brien",1995
"1995–1997","Georgia Tech","GA","Coaching","Bill O'Brien",1996
"1995–1997","Georgia Tech","GA","Coaching","Bill O'Brien",1997
"1998–2000","Georgia Tech","RB","Coaching","Bill O'Brien",1998
"1998–2000","Georgia Tech","RB","Coaching","Bill O'Brien",1999
"1998–2000","Georgia Tech","RB","Coaching","Bill O'Brien",2000
"2001","Georgia Tech","OC/QB","Coaching","Bill O'Brien",2001
"2002","Georgia Tech","Asst/OC/QB","Coaching","Bill O'Brien",2002
"2003–2004","Maryland","RB","Coaching","Bill O'Brien",2003
"2003–2004","Maryland","RB","Coaching","Bill O'Brien",2004
"2005–2006","Duke","OC/QB","Coaching","Bill O'Brien",2005
"2005–2006","Duke","OC/QB","Coaching","Bill O'Brien",2006
"2007","New England Patriots","Asst","Coaching","Bill O'Brien",2007
"2008","New England Patriots","WR","Coaching","Bill O'Brien",2008
"2009–2010","New England Patriots","QB","Coaching","Bill O'Brien",2009
"2009–2010","New England Patriots","QB","Coaching","Bill O'Brien",2010
"2011","New England Patriots","OC/QB","Coaching","Bill O'Brien",2011
"2012–2013","Penn State","HC","Coaching","Bill O'Brien",2012
"2012–2013","Penn State","HC","Coaching","Bill O'Brien",2013
"1986–1987","Oberlin","RB","Coaching","Darrell Hazell",1986
"1986–1987","Oberlin","RB","Coaching","Darrell Hazell",1987
"1988","Eastern Illinois","RB/WR","Coaching","Darrell Hazell",1988
"1989–1991","Oberlin","OC","Coaching","Darrell Hazell",1989
"1989–1991","Oberlin","OC","Coaching","Darrell Hazell",1990
"1989–1991","Oberlin","OC","Coaching","Darrell Hazell",1991
"1992–1994","Penn","RB","Coaching","Darrell Hazell",1992
"1992–1994","Penn","RB","Coaching","Darrell Hazell",1993
"1992–1994","Penn","RB","Coaching","Darrell Hazell",1994
"1995–1996","Western Michigan","WR","Coaching","Darrell Hazell",1995
"1995–1996","Western Michigan","WR","Coaching","Darrell Hazell",1996
"1997–1998","Army","WR/TE","Coaching","Darrell Hazell",1997
"1997–1998","Army","WR/TE","Coaching","Darrell Hazell",1998
"1999–2000","West Virginia","RB","Coaching","Darrell Hazell",1999
"1999–2000","West Virginia","RB","Coaching","Darrell Hazell",2000
"2001–2002","Rutgers","WR","Coaching","Darrell Hazell",2001
"2001–2002","Rutgers","WR","Coaching","Darrell Hazell",2002
"2003","Rutgers","asst. HC","Coaching","Darrell Hazell",2003
"2004","Ohio State","WR/KR","Coaching","Darrell Hazell",2004
"2005–2010","Ohio State","asst. HC/WR","Coaching","Darrell Hazell",2005
"2005–2010","Ohio State","asst. HC/WR","Coaching","Darrell Hazell",2006
"2005–2010","Ohio State","asst. HC/WR","Coaching","Darrell Hazell",2007
"2005–2010","Ohio State","asst. HC/WR","Coaching","Darrell Hazell",2008
"2005–2010","Ohio State","asst. HC/WR","Coaching","Darrell Hazell",2009
"2005–2010","Ohio State","asst. HC/WR","Coaching","Darrell Hazell",2010
"2011–2012","Kent State","HC","Coaching","Darrell Hazell",2011
"2011–2012","Kent State","HC","Coaching","Darrell Hazell",2012
"2013–2013","Purdue","HC","Coaching","Darrell Hazell",2013
"1988","Southeastern Louisiana","OC","Coaching","Gary Andersen",1988
"1989–1992","Ricks College","OL","Coaching","Gary Andersen",1989
"1989–1992","Ricks College","OL","Coaching","Gary Andersen",1990
"1989–1992","Ricks College","OL","Coaching","Gary Andersen",1991
"1989–1992","Ricks College","OL","Coaching","Gary Andersen",1992
"1992–1994","Idaho State","DL","Coaching","Gary Andersen",1992
"1992–1994","Idaho State","DL","Coaching","Gary Andersen",1993
"1992–1994","Idaho State","DL","Coaching","Gary Andersen",1994
"1994–1995","Park City HS","UT","Coaching","Gary Andersen",1994
"1994–1995","Park City HS","UT","Coaching","Gary Andersen",1995
"1995–1996","Northern Arizona","DL/ST","Coaching","Gary Andersen",1995
"1995–1996","Northern Arizona","DL/ST","Coaching","Gary Andersen",1996
"1997-2002","Utah","DL/ST","Coaching","Gary Andersen",1997
"1997-2002","Utah","DL/ST","Coaching","Gary Andersen",1998
"1997-2002","Utah","DL/ST","Coaching","Gary Andersen",1999
"1997-2002","Utah","DL/ST","Coaching","Gary Andersen",2000
"1997-2002","Utah","DL/ST","Coaching","Gary Andersen",2001
"1997-2002","Utah","DL/ST","Coaching","Gary Andersen",2002
"2003","Southern Utah","HC","Coaching","Gary Andersen",2003
"2004","Utah","DL","Coaching","Gary Andersen",2004
"2005–2008","Utah","DC","Coaching","Gary Andersen",2005
"2005–2008","Utah","DC","Coaching","Gary Andersen",2006
"2005–2008","Utah","DC","Coaching","Gary Andersen",2007
"2005–2008","Utah","DC","Coaching","Gary Andersen",2008
"2009–2012","Utah State","HC","Coaching","Gary Andersen",2009
"2009–2012","Utah State","HC","Coaching","Gary Andersen",2010
"2009–2012","Utah State","HC","Coaching","Gary Andersen",2011
"2009–2012","Utah State","HC","Coaching","Gary Andersen",2012
"2013–2013","Wisconsin","HC","Coaching","Gary Andersen",2013
"1985–1986","Clemson","LB","Coaching","Ruffin McNeil",1985
"1985–1986","Clemson","LB","Coaching","Ruffin McNeil",1986
"1987","Austin Peay","LB","Coaching","Ruffin McNeil",1987
"1988","North Alabama","LB","Coaching","Ruffin McNeil",1988
"1989–1991","Appalachian State","LB","Coaching","Ruffin McNeil",1989
"1989–1991","Appalachian State","LB","Coaching","Ruffin McNeil",1990
"1989–1991","Appalachian State","LB","Coaching","Ruffin McNeil",1991
"1992","East Carolina","DL","Coaching","Ruffin McNeil",1992
"1993–1996","Appalachian State","DC","Coaching","Ruffin McNeil",1993
"1993–1996","Appalachian State","DC","Coaching","Ruffin McNeil",1994
"1993–1996","Appalachian State","DC","Coaching","Ruffin McNeil",1995
"1993–1996","Appalachian State","DC","Coaching","Ruffin McNeil",1996
"1998","UNLV","assistant","Coaching","Ruffin McNeil",1998
"1999","Fresno State","DL","Coaching","Ruffin McNeil",1999
"2000–2002","Texas Tech","LB","Coaching","Ruffin McNeil",2000
"2000–2002","Texas Tech","LB","Coaching","Ruffin McNeil",2001
"2000–2002","Texas Tech","LB","Coaching","Ruffin McNeil",2002
"2003–2007","Texas Tech","LB/asst. HC","Coaching","Ruffin McNeil",2003
"2003–2007","Texas Tech","LB/asst. HC","Coaching","Ruffin McNeil",2004
"2003–2007","Texas Tech","LB/asst. HC","Coaching","Ruffin McNeil",2005
"2003–2007","Texas Tech","LB/asst. HC","Coaching","Ruffin McNeil",2006
"2003–2007","Texas Tech","LB/asst. HC","Coaching","Ruffin McNeil",2007
"2007–2009","Texas Tech","DC/LB","Coaching","Ruffin McNeil",2007
"2007–2009","Texas Tech","DC/LB","Coaching","Ruffin McNeil",2008
"2007–2009","Texas Tech","DC/LB","Coaching","Ruffin McNeil",2009
"2009","Texas Tech","Interim HC","Coaching","Ruffin McNeil",2009
"2010–2013","East Carolina","HC","Coaching","Ruffin McNeil",2010
"2010–2013","East Carolina","HC","Coaching","Ruffin McNeil",2011
"2010–2013","East Carolina","HC","Coaching","Ruffin McNeil",2012
"2010–2013","East Carolina","HC","Coaching","Ruffin McNeil",2013
"1977","Pacific","GA","Coaching","Ron Turner",1977
"1978–1979","Arizona","WR","Coaching","Ron Turner",1978
"1978–1979","Arizona","WR","Coaching","Ron Turner",1979
"1980","Arizona","RB","Coaching","Ron Turner",1980
"1981–1982","Northwestern","QB/WR","Coaching","Ron Turner",1981
"1981–1982","Northwestern","QB/WR","Coaching","Ron Turner",1982
"1983–1984","Pittsburgh","QB","Coaching","Ron Turner",1983
"1983–1984","Pittsburgh","QB","Coaching","Ron Turner",1984
"1985","USC","QB","Coaching","Ron Turner",1985
"1986","USC","QB/OC","Coaching","Ron Turner",1986
"1987","USC","WR","Coaching","Ron Turner",1987
"1988","Texas A&M","QB","Coaching","Ron Turner",1988
"1989–1991","Stanford","QB","Coaching","Ron Turner",1989
"1989–1991","Stanford","QB","Coaching","Ron Turner",1990
"1989–1991","Stanford","QB","Coaching","Ron Turner",1991
"1992","San Jose State","HC","Coaching","Ron Turner",1992
"1993–1996","Chicago Bears","OC/QB","Coaching","Ron Turner",1993
"1993–1996","Chicago Bears","OC/QB","Coaching","Ron Turner",1994
"1993–1996","Chicago Bears","OC/QB","Coaching","Ron Turner",1995
"1993–1996","Chicago Bears","OC/QB","Coaching","Ron Turner",1996
"1997–2004","Illinois","HC","Coaching","Ron Turner",1997
"1997–2004","Illinois","HC","Coaching","Ron Turner",1998
"1997–2004","Illinois","HC","Coaching","Ron Turner",1999
"1997–2004","Illinois","HC","Coaching","Ron Turner",2000
"1997–2004","Illinois","HC","Coaching","Ron Turner",2001
"1997–2004","Illinois","HC","Coaching","Ron Turner",2002
"1997–2004","Illinois","HC","Coaching","Ron Turner",2003
"1997–2004","Illinois","HC","Coaching","Ron Turner",2004
"2005–2009","Chicago Bears","OC","Coaching","Ron Turner",2005
"2005–2009","Chicago Bears","OC","Coaching","Ron Turner",2006
"2005–2009","Chicago Bears","OC","Coaching","Ron Turner",2007
"2005–2009","Chicago Bears","OC","Coaching","Ron Turner",2008
"2005–2009","Chicago Bears","OC","Coaching","Ron Turner",2009
"2010","Indianapolis Colts","WR","Coaching","Ron Turner",2010
"2011","Indianapolis Colts","QB","Coaching","Ron Turner",2011
"2012","Tampa Bay Buccaneers","QB","Coaching","Ron Turner",2012
"2013–2013","FIU","HC","Coaching","Ron Turner",2013
"1987–1988","Florida State","GA","Coaching","Skip Holtz",1987
"1987–1988","Florida State","GA","Coaching","Skip Holtz",1988
"1989","Colorado State","WR","Coaching","Skip Holtz",1989
"1990–1991","Notre Dame","WR","Coaching","Skip Holtz",1990
"1990–1991","Notre Dame","WR","Coaching","Skip Holtz",1991
"1992–1993","Notre Dame","OC","Coaching","Skip Holtz",1992
"1992–1993","Notre Dame","OC","Coaching","Skip Holtz",1993
"1994–1998","Connecticut","HC","Coaching","Skip Holtz",1994
