coach,year,team,win,loss,tie,winPct,PF,PA,delta
Bill Dooley,1990,Wake Forest,3,8,0,0.27273,247,351,-104
Bill Dooley,1991,Wake Forest,3,8,0,0.27273,195,300,-105
Bill Dooley,1992,Wake Forest,8,4,0,0.66667,266,260,6
Bill Duncan,1921,Louisville,2,2,1,0.5,49,29,20
Bill Duncan,1922,Louisville,2,7,0,0.22222,79,248,-169
Bill Edwards,1949,Vanderbilt,5,5,0,0.5,177,183,-6
Bill Edwards,1950,Vanderbilt,7,4,0,0.63636,252,216,36
Bill Edwards,1951,Vanderbilt,6,5,0,0.54545,201,195,6
Bill Edwards,1952,Vanderbilt,3,5,2,0.4,151,199,-48
Bill Fulcher,1972,Georgia Tech,7,4,1,0.625,284,226,58
Bill Fulcher,1973,Georgia Tech,5,6,0,0.45455,192,211,-19
Bill Hess,1958,Ohio,5,4,0,0.55556,159,102,57
Bill Hess,1959,Ohio,7,2,0,0.77778,215,101,114
Bill Hess,1960,Ohio,10,0,0,1,269,34,235
Bill Hess,1961,Ohio,5,3,1,0.61111,129,116,13
Bill Hess,1962,Ohio,8,3,0,0.72727,261,112,149
Bill Hess,1963,Ohio,6,4,0,0.6,135,103,32
Bill Hess,1964,Ohio,5,4,1,0.55,122,99,23
Bill Hess,1965,Ohio,0,10,0,0,77,210,-133
Bill Hess,1966,Ohio,5,5,0,0.5,149,183,-34
Bill Hess,1967,Ohio,5,5,0,0.5,223,173,50
Bill Hess,1968,Ohio,10,1,0,0.90909,418,228,190
Bill Hess,1969,Ohio,5,4,1,0.55,256,222,34
Bill Hess,1970,Ohio,4,5,0,0.44444,178,261,-83
Bill Hess,1971,Ohio,5,5,0,0.5,240,173,67
Bill Hess,1972,Ohio,3,8,0,0.27273,185,321,-136
Bill Hess,1973,Ohio,5,5,0,0.5,156,231,-75
Bill Hess,1974,Ohio,6,5,0,0.54545,249,211,38
Bill Hess,1975,Ohio,5,5,1,0.5,164,143,21
Bill Hess,1976,Ohio,7,4,0,0.63636,253,175,78
Bill Hess,1977,Ohio,1,10,0,0.09091,241,361,-120
Bill Hildebrand,1960,Wake Forest,2,8,0,0.2,119,215,-96
Bill Hildebrand,1961,Wake Forest,4,6,0,0.4,103,159,-56
Bill Hildebrand,1962,Wake Forest,0,10,0,0,66,278,-212
Bill Hildebrand,1963,Wake Forest,1,9,0,0.1,37,318,-281
Bill Ireland,1968,UNLV,8,1,0,0.88889,266,103,163
Bill Ireland,1969,UNLV,6,4,0,0.6,271,255,16
Bill Ireland,1970,UNLV,6,4,0,0.6,313,241,72
Bill Ireland,1971,UNLV,5,4,1,0.55,257,171,86
Bill Ireland,1972,UNLV,1,10,0,0.09091,149,289,-140
Bill Jennings,1957,Nebraska,1,9,0,0.1,67,243,-176
Bill Jennings,1958,Nebraska,3,7,0,0.3,71,235,-164
Bill Jennings,1959,Nebraska,4,6,0,0.4,108,160,-52
Bill Jennings,1960,Nebraska,4,6,0,0.4,95,164,-69
Bill Jennings,1961,Nebraska,3,6,1,0.35,119,135,-16
Bill Lewis,1977,Wyoming,4,6,1,0.40909,166,273,-107
Bill Lewis,1978,Wyoming,5,7,0,0.41667,253,245,8
Bill Lewis,1979,Wyoming,4,8,0,0.33333,186,276,-90
Bill Lewis,1989,East Carolina,6,5,0,0.54545,301,286,15
Bill Lewis,1990,East Carolina,5,6,0,0.45455,254,267,-13
Bill Lewis,1991,East Carolina,11,1,0,0.91667,409,277,132
Bill Lewis,1992,Georgia Tech,5,6,0,0.45455,237,286,-49
Bill Lewis,1993,Georgia Tech,5,6,0,0.45455,260,286,-26
Bill Lewis,1994,Georgia Tech,1,7,0,0.125,152,231,-79
Bill Lynch,1985,Butler,8,2,0,0.8,247,138,109
Bill Lynch,1986,Butler,5,5,0,0.5,258,169,89
Bill Lynch,1987,Butler,8,1,1,0.85,311,149,162
Bill Lynch,1988,Butler,8,2,1,0.77273,304,176,128
Bill Lynch,1989,Butler,7,2,1,0.75,280,205,75
Bill Lynch,1995,Ball State,7,4,0,0.63636,204,187,17
Bill Lynch,1996,Ball State,8,4,0,0.66667,296,210,86
Bill Lynch,1997,Ball State,5,6,0,0.45455,239,260,-21
Bill Lynch,1998,Ball State,1,10,0,0.09091,150,343,-193
Bill Lynch,1999,Ball State,0,11,0,0,157,361,-204
Bill Lynch,2000,Ball State,5,6,0,0.45455,212,349,-137
Bill Lynch,2001,Ball State,5,6,0,0.45455,268,296,-28
Bill Lynch,2002,Ball State,6,6,0,0.5,278,333,-55
Bill Lynch,2004,DePauw (IN),8,2,0,0.8,261,160,101
Bill Lynch,2007,Indiana,7,6,0,0.53846,412,370,42
Bill Lynch,2008,Indiana,3,9,0,0.25,246,423,-177
Bill Lynch,2009,Indiana,4,8,0,0.33333,282,354,-72
Bill Lynch,2010,Indiana,5,7,0,0.41667,326,408,-82
Bill Mallory,1969,Miami (OH),7,3,0,0.7,231,139,92
Bill Mallory,1970,Miami (OH),7,3,0,0.7,187,112,75
Bill Mallory,1971,Miami (OH),7,3,0,0.7,207,117,90
Bill Mallory,1972,Miami (OH),7,3,0,0.7,232,116,116
Bill Mallory,1973,Miami (OH),11,0,0,1,223,76,147
Bill Mallory,1974,Colorado,5,6,0,0.45455,226,307,-81
Bill Mallory,1975,Colorado,9,3,0,0.75,331,251,80
Bill Mallory,1976,Colorado,8,4,0,0.66667,305,225,80
Bill Mallory,1977,Colorado,7,3,1,0.68182,266,174,92
Bill Mallory,1978,Colorado,6,5,0,0.54545,230,206,24
Bill Mallory,1980,Northern Illinois,7,4,0,0.63636,216,175,41
Bill Mallory,1981,Northern Illinois,3,8,0,0.27273,160,217,-57
Bill Mallory,1982,Northern Illinois,5,5,0,0.5,137,136,1
Bill Mallory,1983,Northern Illinois,10,2,0,0.83333,314,203,111
Bill Mallory,1984,Indiana,0,11,0,0,185,338,-153
Bill Mallory,1985,Indiana,4,7,0,0.36364,251,340,-89
Bill Mallory,1986,Indiana,6,6,0,0.5,273,227,46
Bill Mallory,1987,Indiana,8,4,0,0.66667,283,238,45
Bill Mallory,1988,Indiana,8,3,1,0.70833,396,235,161
Bill Mallory,1989,Indiana,5,6,0,0.45455,289,262,27
Bill Mallory,1990,Indiana,6,5,1,0.54167,329,238,91
Bill Mallory,1991,Indiana,7,4,1,0.625,305,224,81
Bill Mallory,1992,Indiana,5,6,0,0.45455,177,197,-20
Bill Mallory,1993,Indiana,8,4,0,0.66667,259,197,62
Bill Mallory,1994,Indiana,7,4,0,0.63636,294,285,9
Bill Mallory,1995,Indiana,2,9,0,0.18182,159,326,-167
Bill Mallory,1996,Indiana,3,8,0,0.27273,242,291,-49
Bill McCartney,1982,Colorado,2,8,1,0.22727,160,301,-141
Bill McCartney,1983,Colorado,4,7,0,0.36364,252,342,-90
Bill McCartney,1984,Colorado,1,10,0,0.09091,172,364,-192
Bill McCartney,1985,Colorado,7,5,0,0.58333,228,174,54
Bill McCartney,1986,Colorado,6,6,0,0.5,242,193,49
Bill McCartney,1987,Colorado,7,4,0,0.63636,268,180,88
Bill McCartney,1988,Colorado,8,4,0,0.66667,322,196,126
Bill McCartney,1989,Colorado,11,1,0,0.91667,458,171,287
Bill McCartney,1990,Colorado,11,1,1,0.88462,399,229,170
Bill McCartney,1991,Colorado,8,3,1,0.70833,329,180,149
Bill McCartney,1992,Colorado,9,2,1,0.79167,340,224,116
Bill McCartney,1993,Colorado,8,3,1,0.70833,368,250,118
Bill McCartney,1994,Colorado,11,1,0,0.91667,439,235,204
Bill Michael,1977,UTEP,1,10,0,0.09091,151,460,-309
Bill Michael,1978,UTEP,1,11,0,0.08333,151,424,-273
Bill Michael,1979,UTEP,2,9,0,0.18182,106,266,-160
Bill Michael,1980,UTEP,1,11,0,0.08333,143,424,-281
Bill Michael,1981,UTEP,0,2,0,0,22,51,-29
Bill Miller,1964,Texas State,8,2,0,0.8,281,103,178
Bill Miller,1965,Texas State,8,2,0,0.8,234,74,160
Bill Miller,1966,Texas State,7,2,1,0.75,181,93,88
Bill Miller,1967,Texas State,9,1,0,0.9,374,108,266
Bill Miller,1968,Texas State,5,5,0,0.5,248,195,53
Bill Miller,1969,Texas State,3,6,1,0.35,219,241,-22
Bill Miller,1970,Texas State,6,5,0,0.54545,256,220,36
Bill Miller,1971,Texas State,8,1,1,0.85,304,133,171
Bill Miller,1972,Texas State,7,3,0,0.7,213,145,68
Bill Miller,1973,Texas State,4,6,0,0.4,161,198,-37
Bill Miller,1974,Texas State,6,4,0,0.6,156,153,3
Bill Miller,1975,Texas State,7,3,0,0.7,209,169,40
Bill Miller,1976,Texas State,5,5,0,0.5,215,204,11
Bill Miller,1977,Texas State,5,4,0,0.55556,168,164,4
Bill Miller,1978,Texas State,6,4,0,0.6,218,124,94
Bill Mondt,1974,New Mexico,4,6,1,0.40909,192,263,-71
Bill Mondt,1975,New Mexico,6,5,0,0.54545,291,232,59
Bill Mondt,1976,New Mexico,4,7,0,0.36364,229,235,-6
Bill Mondt,1977,New Mexico,5,7,0,0.41667,273,319,-46
Bill Mondt,1978,New Mexico,7,5,0,0.58333,284,205,79
Bill Mondt,1979,New Mexico,5,7,0,0.41667,211,229,-18
Bill Orwig,1946,Toledo,6,2,2,0.7,200,132,68
Bill Orwig,1947,Toledo,9,2,0,0.81818,255,115,140
Bill Pace,1967,Vanderbilt,2,7,1,0.25,165,241,-76
Bill Pace,1968,Vanderbilt,5,4,1,0.55,163,147,16
Bill Pace,1969,Vanderbilt,4,6,0,0.4,242,264,-22
Bill Pace,1970,Vanderbilt,4,7,0,0.36364,201,213,-12
Bill Pace,1971,Vanderbilt,4,6,1,0.40909,136,208,-72
Bill Pace,1972,Vanderbilt,3,8,0,0.27273,129,243,-114
Bill Parcells,1978,Air Force,3,8,0,0.27273,215,328,-113
Bill Peck,1970,Middle Tennessee State,6,3,1,0.65,167,105,62
Bill Peck,1971,Middle Tennessee State,7,4,0,0.63636,196,178,18
Bill Peck,1972,Middle Tennessee State,7,3,1,0.68182,216,172,44
Bill Peck,1973,Middle Tennessee State,4,7,0,0.36364,148,264,-116
Bill Peck,1974,Middle Tennessee State,3,8,0,0.27273,164,254,-90
Bill Peterson,1960,Florida State,3,6,1,0.35,111,136,-25
Bill Peterson,1961,Florida State,4,5,1,0.45,93,128,-35
Bill Peterson,1962,Florida State,4,3,3,0.55,170,69,101
Bill Peterson,1963,Florida State,4,5,1,0.45,167,93,74
Bill Peterson,1964,Florida State,9,1,1,0.86364,263,85,178
Bill Peterson,1965,Florida State,4,5,1,0.45,121,119,2
Bill Peterson,1966,Florida State,6,5,0,0.54545,274,215,59
Bill Peterson,1967,Florida State,7,2,2,0.72727,250,187,63
Bill Peterson,1968,Florida State,8,3,0,0.72727,308,211,97
Bill Peterson,1969,Florida State,6,3,1,0.65,220,182,38
Bill Peterson,1970,Florida State,7,4,0,0.63636,254,195,59
Bill Peterson,1971,Rice,3,7,1,0.31818,146,220,-74
Bill Pritchard,1931,Buffalo,2,6,0,0.25,64,171,-107
Bill Schutte,1947,San Diego State,7,3,1,0.68182,191,156,35
Bill Schutte,1948,San Diego State,4,7,0,0.36364,158,190,-32
Bill Schutte,1949,San Diego State,6,3,0,0.66667,195,200,-5
Bill Schutte,1950,San Diego State,5,3,1,0.61111,212,186,26
Bill Schutte,1951,San Diego State,10,0,1,0.95455,386,133,253
Bill Schutte,1952,San Diego State,4,5,0,0.44444,238,267,-29
Bill Schutte,1953,San Diego State,5,3,1,0.61111,230,142,88
Bill Schutte,1954,San Diego State,5,4,0,0.55556,177,141,36
Bill Schutte,1955,San Diego State,2,8,0,0.2,65,231,-166
Bill Snyder,1989,Kansas State,1,10,0,0.09091,134,349,-215
Bill Snyder,1990,Kansas State,5,6,0,0.45455,255,293,-38
Bill Snyder,1991,Kansas State,7,4,0,0.63636,263,226,37
Bill Snyder,1992,Kansas State,5,6,0,0.45455,195,233,-38
Bill Snyder,1993,Kansas State,9,2,1,0.79167,340,227,113
Bill Snyder,1994,Kansas State,9,3,0,0.75,312,168,144
Bill Snyder,1995,Kansas State,10,2,0,0.83333,456,166,290
Bill Snyder,1996,Kansas State,9,3,0,0.75,340,191,149
Bill Snyder,1997,Kansas State,11,1,0,0.91667,418,177,241
Bill Snyder,1998,Kansas State,11,2,0,0.84615,610,197,413
Bill Snyder,1999,Kansas State,11,1,0,0.91667,457,164,293
Bill Snyder,2000,Kansas State,11,3,0,0.78571,549,261,288
Bill Snyder,2001,Kansas State,6,6,0,0.5,330,205,125
Bill Snyder,2002,Kansas State,11,2,0,0.84615,582,154,428
Bill Snyder,2003,Kansas State,11,4,0,0.73333,549,244,305
Bill Snyder,2004,Kansas State,4,7,0,0.36364,326,337,-11
Bill Snyder,2005,Kansas State,5,6,0,0.45455,289,305,-16
Bill Snyder,2009,Kansas State,6,6,0,0.5,276,280,-4
Bill Snyder,2010,Kansas State,7,6,0,0.53846,437,378,59
Bill Snyder,2011,Kansas State,10,3,0,0.76923,413,363,50
Bill Stanley,1924,Arkansas State,4,4,0,0.5,95,56,39
Bill Stewart,1994,VMI,1,10,0,0.09091,153,437,-284
Bill Stewart,1995,VMI,4,7,0,0.36364,269,350,-81
Bill Stewart,1996,VMI,3,8,0,0.27273,189,296,-107
Bill Stewart,2007,West Virginia,1,0,0,1,48,28,20
Bill Stewart,2008,West Virginia,9,4,0,0.69231,319,221,98
Bill Stewart,2009,West Virginia,9,4,0,0.69231,340,282,58
Bill Stewart,2010,West Virginia,9,4,0,0.69231,327,176,151
Bill Tate,1964,Wake Forest,5,5,0,0.5,172,178,-6
Bill Tate,1965,Wake Forest,3,7,0,0.3,88,204,-116
Bill Tate,1966,Wake Forest,3,7,0,0.3,90,162,-72
Bill Tate,1967,Wake Forest,4,6,0,0.4,175,256,-81
Bill Tate,1968,Wake Forest,2,7,1,0.25,212,228,-16
Bill Walsh,1977,Stanford,9,3,0,0.75,285,279,6
Bill Walsh,1978,Stanford,8,4,0,0.66667,326,221,105
Bill Walsh,1992,Stanford,10,3,0,0.76923,320,196,124
Bill Walsh,1993,Stanford,4,7,0,0.36364,291,389,-98
Bill Walsh,1994,Stanford,3,7,1,0.31818,327,359,-32
Bill Weeks,1960,New Mexico,5,5,0,0.5,234,182,52
Bill Weeks,1961,New Mexico,7,4,0,0.63636,215,197,18
Bill Weeks,1962,New Mexico,7,2,1,0.75,210,159,51
Bill Weeks,1963,New Mexico,6,4,0,0.6,177,143,34
Bill Weeks,1964,New Mexico,9,2,0,0.81818,185,90,95
Bill Weeks,1965,New Mexico,3,7,0,0.3,127,226,-99
Bill Weeks,1966,New Mexico,2,8,0,0.2,101,320,-219
Bill Weeks,1967,New Mexico,1,9,0,0.1,152,433,-281
Bill Yeoman,1962,Houston,7,4,0,0.63636,198,171,27
Bill Yeoman,1963,Houston,2,8,0,0.2,149,208,-59
Bill Yeoman,1964,Houston,2,6,1,0.27778,115,174,-59
Bill Yeoman,1965,Houston,4,5,1,0.45,159,174,-15
Bill Yeoman,1966,Houston,8,2,0,0.8,335,125,210
Bill Yeoman,1967,Houston,7,3,0,0.7,322,122,200
Bill Yeoman,1968,Houston,6,2,2,0.7,425,154,271
Bill Yeoman,1969,Houston,9,2,0,0.81818,422,208,214
Bill Yeoman,1970,Houston,8,3,0,0.72727,307,160,147
Bill Yeoman,1971,Houston,9,3,0,0.75,339,199,140
Bill Yeoman,1972,Houston,6,4,1,0.59091,325,202,123
Bill Yeoman,1973,Houston,11,1,0,0.91667,363,142,221
Bill Yeoman,1974,Houston,8,3,1,0.70833,280,185,95
Bill Yeoman,1975,Houston,2,8,0,0.2,185,245,-60
Bill Yeoman,1976,Houston,10,2,0,0.83333,343,188,155
Bill Yeoman,1977,Houston,6,5,0,0.54545,282,259,23
Bill Yeoman,1978,Houston,9,3,0,0.75,364,213,151
Bill Yeoman,1979,Houston,11,1,0,0.91667,295,135,160
Bill Yeoman,1980,Houston,7,5,0,0.58333,236,190,46
Bill Yeoman,1981,Houston,7,4,1,0.625,238,174,64
Bill Yeoman,1982,Houston,5,5,1,0.5,215,262,-47
Bill Yeoman,1983,Houston,4,7,0,0.36364,225,294,-69
Bill Yeoman,1984,Houston,7,5,0,0.58333,266,267,-1
Bill Yeoman,1985,Houston,4,7,0,0.36364,253,339,-86
Bill Yeoman,1986,Houston,1,10,0,0.09091,125,267,-142
Bill Yung,1977,West Texas A&M (TX),6,4,1,0.59091,263,183,80
Bill Yung,1978,West Texas A&M (TX),3,8,0,0.27273,237,297,-60
Bill Yung,1979,West Texas A&M (TX),5,5,1,0.5,239,195,44
Bill Yung,1980,West Texas A&M (TX),5,6,0,0.45455,232,284,-52
Bill Yung,1981,West Texas A&M (TX),7,4,0,0.63636,247,213,34
Bill Yung,1982,UTEP,2,10,0,0.16667,177,417,-240
Bill Yung,1983,UTEP,2,10,0,0.16667,210,359,-149
Bill Yung,1984,UTEP,2,9,0,0.18182,180,374,-194
Bill Yung,1985,UTEP,1,10,0,0.09091,196,375,-179
Billy Atkins,1966,Troy,5,5,0,0.5,229,186,43
Billy Atkins,1967,Troy,8,2,0,0.8,287,100,187
Billy Atkins,1968,Troy,11,1,0,0.91667,519,158,361
Billy Atkins,1969,Troy,8,1,1,0.85,283,110,173
Billy Atkins,1970,Troy,6,4,1,0.59091,259,198,61
Billy Atkins,1971,Troy,6,3,0,0.66667,178,146,32
Billy Brewer,1974,Southeastern Louisiana,6,4,0,0.6,217,197,20
Billy Brewer,1975,Southeastern Louisiana,4,7,0,0.36364,217,246,-29
Billy Brewer,1976,Southeastern Louisiana,9,1,1,0.86364,237,148,89
Billy Brewer,1977,Southeastern Louisiana,6,4,0,0.6,189,135,54
Billy Brewer,1978,Southeastern Louisiana,7,3,1,0.68182,198,78,120
Billy Brewer,1979,Southeastern Louisiana,6,5,0,0.54545,191,135,56
Billy Brewer,1980,Louisiana Tech,5,6,0,0.45455,193,220,-27
Billy Brewer,1981,Louisiana Tech,4,6,1,0.40909,205,241,-36
Billy Brewer,1982,Louisiana Tech,10,3,0,0.76923,340,177,163
Billy Brewer,1983,Mississippi,7,5,0,0.58333,179,264,-85
Billy Brewer,1984,Mississippi,4,6,1,0.40909,194,203,-9
Billy Brewer,1985,Mississippi,4,6,1,0.40909,210,276,-66
Billy Brewer,1986,Mississippi,8,3,1,0.70833,240,167,73
Billy Brewer,1987,Mississippi,3,8,0,0.27273,223,309,-86
Billy Brewer,1988,Mississippi,5,6,0,0.45455,221,223,-2
Billy Brewer,1989,Mississippi,8,4,0,0.66667,309,314,-5
Billy Brewer,1990,Mississippi,9,3,0,0.75,260,226,34
Billy Brewer,1991,Mississippi,5,6,0,0.45455,242,223,19
Billy Brewer,1992,Mississippi,9,3,0,0.75,243,174,69
Billy Brewer,1993,Mississippi,6,5,0,0.54545,242,142,100
Billy Herod,1891,Indiana,1,5,0,0.16667,46,225,-179
Billy J. Murphy,1958,Memphis,4,5,0,0.44444,142,144,-2
Billy J. Murphy,1959,Memphis,6,4,0,0.6,142,132,10
Billy J. Murphy,1960,Memphis,8,2,0,0.8,303,85,218
Billy J. Murphy,1961,Memphis,8,2,0,0.8,332,75,257
Billy J. Murphy,1962,Memphis,8,1,0,0.88889,261,67,194
Billy J. Murphy,1963,Memphis,9,0,1,0.95,199,52,147
Billy J. Murphy,1964,Memphis,5,4,0,0.55556,173,103,70
Billy J. Murphy,1965,Memphis,5,5,0,0.5,215,153,62
Billy J. Murphy,1966,Memphis,7,2,0,0.77778,121,96,25
Billy J. Murphy,1967,Memphis,6,3,0,0.66667,206,150,56
Billy J. Murphy,1968,Memphis,6,4,0,0.6,258,170,88
Billy J. Murphy,1969,Memphis,8,2,0,0.8,328,191,137
Billy J. Murphy,1970,Memphis,6,4,0,0.6,227,184,43
Billy J. Murphy,1971,Memphis,5,6,0,0.45455,255,202,53
Billy R. Kinard,1971,Mississippi,10,2,0,0.83333,363,222,141
Billy R. Kinard,1972,Mississippi,5,5,0,0.5,192,142,50
Billy R. Kinard,1973,Mississippi,1,2,0,0.33333,37,40,-3
Billy R. Kinard,1978,Gardner-Webb,4,5,1,0.45,160,154,6
Billy Reynolds,1901,Georgia,1,5,2,0.25,21,171,-150
Billy Reynolds,1902,Georgia,4,2,1,0.64286,55,52,3
Billy Tohill,1971,TCU,3,1,0,0.75,55,72,-17
Billy Tohill,1972,TCU,5,6,0,0.45455,213,245,-32
Billy Tohill,1973,TCU,3,8,0,0.27273,189,290,-101
Billy Watkins,1900,Auburn,4,0,0,1,148,5,143
Billy Watkins,1901,Auburn,2,3,1,0.41667,50,74,-24
Blake Miller,1916,Central Michigan,1,5,0,0.16667,39,139,-100
Blanton Collier,1954,Kentucky,7,3,0,0.7,151,125,26
Blanton Collier,1955,Kentucky,6,3,1,0.65,178,131,47
Blanton Collier,1956,Kentucky,6,4,0,0.6,119,105,14
Blanton Collier,1957,Kentucky,3,7,0,0.3,128,127,1
Blanton Collier,1958,Kentucky,5,4,1,0.55,136,115,21
Blanton Collier,1959,Kentucky,4,6,0,0.4,140,107,33
Blanton Collier,1960,Kentucky,5,4,1,0.55,206,81,125
Blanton Collier,1961,Kentucky,5,5,0,0.5,138,123,15
Bo Farley,1936,East Carolina,3,2,0,0.6,64,19,45
Bo Pelini,2003,Nebraska,1,0,0,1,17,3,14
Bo Pelini,2008,Nebraska,9,4,0,0.69231,460,371,89
Bo Pelini,2009,Nebraska,10,4,0,0.71429,352,146,206
Bo Pelini,2010,Nebraska,10,4,0,0.71429,432,243,189
Bo Pelini,2011,Nebraska,9,4,0,0.69231,379,304,75
Bo Rein,1976,North Carolina State,3,7,1,0.31818,205,258,-53
Bo Rein,1977,North Carolina State,8,4,0,0.66667,259,181,78
Bo Rein,1978,North Carolina State,9,3,0,0.75,280,208,72
Bo Rein,1979,North Carolina State,7,4,0,0.63636,258,213,45
Bob Breitbard,1945,San Diego State,2,5,0,0.28571,65,163,-98
Bob Commings,1974,Iowa,3,8,0,0.27273,157,308,-151
Bob Commings,1975,Iowa,3,8,0,0.27273,182,279,-97
Bob Commings,1976,Iowa,5,6,0,0.45455,161,234,-73
Bob Commings,1977,Iowa,5,6,0,0.45455,171,229,-58
Bob Commings,1978,Iowa,2,9,0,0.18182,125,291,-166
Bob Davie,1997,Notre Dame,7,6,0,0.53846,282,265,17
Bob Davie,1998,Notre Dame,9,3,0,0.75,328,248,80
Bob Davie,1999,Notre Dame,5,7,0,0.41667,348,331,17
Bob Davie,2000,Notre Dame,9,3,0,0.75,353,267,86
Bob Davie,2001,Notre Dame,5,6,0,0.45455,214,215,-1
Bob DeBesse,1997,Texas State,5,6,0,0.45455,273,276,-3
Bob DeBesse,1998,Texas State,4,7,0,0.36364,186,269,-83
Bob DeBesse,1999,Texas State,3,8,0,0.27273,217,210,7
Bob DeBesse,2000,Texas State,7,4,0,0.63636,220,183,37
Bob DeBesse,2001,Texas State,4,7,0,0.36364,188,258,-70
Bob DeBesse,2002,Texas State,4,7,0,0.36364,211,290,-79
Bob Deming,1969,Buffalo,6,3,0,0.66667,174,89,85
Bob Deming,1970,Buffalo,2,9,0,0.18182,133,299,-166
Bob DeMoss,1970,Purdue,4,6,0,0.4,161,189,-28
Bob DeMoss,1971,Purdue,3,7,0,0.3,210,228,-18
Bob DeMoss,1972,Purdue,6,5,0,0.54545,245,135,110
Bob Gibson,1965,Bowling Green,7,2,0,0.77778,123,107,16
Bob Gibson,1966,Bowling Green,6,3,0,0.66667,187,124,63
Bob Gibson,1967,Bowling Green,6,4,0,0.6,131,130,1
Bob Hicks,1957,Indiana,1,8,0,0.11111,47,307,-260
Bob Kappes,1978,Ohio,3,8,0,0.27273,120,246,-126
Bob LaPointe,1982,Eastern Michigan,1,6,1,0.1875,66,107,-41
Bob Owens,1979,Arizona State,1,6,0,0.14286,188,153,35
Bob Padilla,1978,Fresno State,3,8,0,0.27273,247,329,-82
Bob Padilla,1979,Fresno State,4,7,0,0.36364,245,302,-57
Bob Pruett,1996,Marshall,15,0,0,1,658,210,448
Bob Pruett,1997,Marshall,10,3,0,0.76923,484,259,225
Bob Pruett,1998,Marshall,12,1,0,0.92308,405,236,169
Bob Pruett,1999,Marshall,13,0,0,1,463,137,326
Bob Pruett,2000,Marshall,8,5,0,0.61538,367,297,70
Bob Pruett,2001,Marshall,11,2,0,0.84615,512,369,143
Bob Pruett,2002,Marshall,11,2,0,0.84615,457,315,142
Bob Pruett,2003,Marshall,8,4,0,0.66667,350,278,72
Bob Pruett,2004,Marshall,6,6,0,0.5,291,266,25
Bob Simmons,1995,Oklahoma State,4,8,0,0.33333,250,345,-95
Bob Simmons,1996,Oklahoma State,5,6,0,0.45455,243,327,-84
Bob Simmons,1997,Oklahoma State,8,4,0,0.66667,352,233,119
Bob Simmons,1998,Oklahoma State,5,6,0,0.45455,303,296,7
Bob Simmons,1999,Oklahoma State,5,6,0,0.45455,267,274,-7
Bob Simmons,2000,Oklahoma State,3,8,0,0.27273,202,303,-101
Bob Stoops,1999,Oklahoma,7,5,0,0.58333,430,229,201
Bob Stoops,2000,Oklahoma,13,0,0,1,481,194,287
Bob Stoops,2001,Oklahoma,11,2,0,0.84615,397,169,228
Bob Stoops,2002,Oklahoma,12,2,0,0.85714,541,216,325
Bob Stoops,2003,Oklahoma,12,2,0,0.85714,601,214,387
Bob Stoops,2004,Oklahoma,12,1,0,0.92308,452,219,233
Bob Stoops,2005,Oklahoma,8,4,0,0.66667,323,277,46
Bob Stoops,2006,Oklahoma,11,3,0,0.78571,424,242,182
Bob Stoops,2007,Oklahoma,11,3,0,0.78571,592,284,308
Bob Stoops,2008,Oklahoma,12,2,0,0.85714,716,343,373
Bob Stoops,2009,Oklahoma,8,5,0,0.61538,404,189,215
Bob Stoops,2010,Oklahoma,12,2,0,0.85714,521,305,216
Bob Stoops,2011,Oklahoma,10,3,0,0.76923,514,287,227
Bob Stull,1984,Massachusetts,3,8,0,0.27273,148,219,-71
Bob Stull,1985,Massachusetts,7,4,0,0.63636,198,127,71
Bob Stull,1986,UTEP,4,8,0,0.33333,309,391,-82
Bob Stull,1987,UTEP,7,4,0,0.63636,309,234,75
Bob Stull,1988,UTEP,10,3,0,0.76923,445,275,170
Bob Stull,1989,Missouri,2,9,0,0.18182,171,363,-192
Bob Stull,1990,Missouri,4,7,0,0.36364,278,360,-82
Bob Stull,1991,Missouri,3,7,1,0.31818,223,403,-180
Bob Stull,1992,Missouri,3,8,0,0.27273,214,269,-55
Bob Stull,1993,Missouri,3,7,1,0.31818,192,344,-152
Bob Sutton,1991,Army,4,7,0,0.36364,196,226,-30
Bob Sutton,1992,Army,5,6,0,0.45455,225,251,-26
Bob Sutton,1993,Army,6,5,0,0.54545,289,243,46
Bob Sutton,1994,Army,4,7,0,0.36364,215,252,-37
Bob Sutton,1995,Army,5,5,1,0.5,325,211,114
Bob Sutton,1996,Army,10,2,0,0.83333,379,224,155
Bob Sutton,1997,Army,4,7,0,0.36364,221,311,-90
Bob Sutton,1998,Army,3,8,0,0.27273,257,325,-68
Bob Sutton,1999,Army,3,8,0,0.27273,225,317,-92
Bob Toledo,1979,Pacific (CA),3,7,0,0.3,162,193,-31
Bob Toledo,1980,Pacific (CA),4,8,0,0.33333,211,330,-119
Bob Toledo,1981,Pacific (CA),5,6,0,0.45455,170,253,-83
Bob Toledo,1982,Pacific (CA),2,9,0,0.18182,200,330,-130
Bob Toledo,1996,UCLA,5,6,0,0.45455,330,318,12
Bob Toledo,1997,UCLA,10,2,0,0.83333,477,247,230
Bob Toledo,1998,UCLA,10,2,0,0.83333,476,340,136
Bob Toledo,1999,UCLA,5,6,0,0.45455,230,311,-81
Bob Toledo,2000,UCLA,6,6,0,0.5,353,368,-15
Bob Toledo,2001,UCLA,7,4,0,0.63636,317,225,92
